ENTREZID	Symbol
26554	Cul3
72208	1700016L21Rik
210293	Dock10
241134	Nyap2
16367	Irs1
76867	Rhbdd1
12829	Col4a4
12828	Col4a3
75734	Mff
66261	Tm4sf20
15463	Agfg1
80721	Slc19a3
71386	Krtap28-13
20297	Ccl20
71227	Daw1
77629	Sphkap
98496	Pid1
227325	Dner
100628595	Mir5126
14897	Trip12
66153	Fbxo36
71781	Slc16a14
381287	A530032D15Rik
665378	Gm7609
620078	C130026I21Rik
109032	Sp110
434484	Sp140
20684	Sp100
319997	A630001G21Rik
12283	Cab39
64294	Itm2c
71141	4933407L21Rik
227326	Gpr55
70060	Spata3
72792	2810459M11Rik
70247	Psmd1
15559	Htr2b
78795	Armc9
227327	B3gnt7
383538	Gm5258
17975	Ncl
100303740	Snora75
80828	Snord82
14767	Nmur1
71863	Tex44
19231	Ptma
18582	Pde6d
26895	Cops7b
18159	Nppc
208718	Dis3l2
11650	Alppl2
76768	Alpi
11648	Akp3
13599	Ecel1
69453	Prss56
11447	Chrnd
11449	Chrng
26987	Eif4e2
98363	Efhd1
227331	Gigyf2
100040591	Kcnj13
73234	Snorc
53972	Ngef
620454	Gm6153
23956	Neu2
16331	Inpp5d
77040	Atg16l1
100217415	Scarna6
20215	Sag
100503175	Gm19582
227333	Dgkd
227334	Usp40
394430	Ugt1a10
394434	Ugt1a9
394432	Ugt1a7c
394435	Ugt1a6b
94284	Ugt1a6a
394433	Ugt1a5
22236	Ugt1a2
15504	Dnajb3
394436	Ugt1a1
100040766	Mroh2a
381280	Hjurp
171382	Trpm8
75396	Spp2
14659	Glrp1
100503197	Gm19589
320982	Arl4c
78650	Platr5
73475	1700067G17Rik
98402	Sh3bp4
77331	C030007H22Rik
347722	Agap1
14472	Gbx2
208372	Asb18
74918	Iqca
12778	Ackr3
108679	Cops8
12835	Col6a3
171531	Mlph
623503	Prlh
19329	Rab17
16978	Lrrfip1
329207	Rbm44
51801	Ramp1
67921	Ube2f
50880	Scly
227357	Espnl
70788	Klhl30
227358	Erfe
67444	Ilkap
67086	1700020N18Rik
55927	Hes6
18627	Per2
74019	Traf3ip1
65247	Asb1
13345	Twist2
208727	Hdac4
67273	Ndufa10
259040	Olfr1416
258228	Olfr1415
259041	Olfr1414
259039	Olfr1413
258274	Olfr1412
258483	Olfr1411
258484	Olfr1410
257890	Olfr12
66915	Cops9
260301	Otos
14733	Gpc1
387167	Mir149
241158	Ankmy1
67446	Dusp28
108657	Rnpepl1
100037260	9430060I03Rik
23830	Capn10
64095	Gpr35
208760	Aqp12
16560	Kif1a
11611	Agxt
71874	Mab21l4
381284	Crocc2
208777	Sned1
69821	Mterf4
269224	Pask
66385	Ppp1r7
404545	Ano7
110611	Hdlbp
18000	Septin2
227377	Farp2
59041	Stk25
51800	Bok
67026	Thap4
66615	Atg4b
21915	Dtymk
66262	Ing5
98314	D2hgdh
381334	Gal3st2
100041596	Gal3st2b
666009	Gm7889
619597	Gal3st2c
241159	Neu4
18566	Pdcd1
74689	4930440C22Rik
67698	Fam174a
20452	St8sia4
75381	4930598F16Rik
73454	1700063A18Rik
75159	4930533P14Rik
227394	Slco4c1
67854	Slco6b1
74441	Slco6c1
634331	Gm7133
634346	Gm7135
52392	Macir
227399	Ppip5k2
252876	Gin1
18484	Pam
78603	B230216N24Rik
69030	1810006J02Rik
70866	Slco6d1
241175	Cntnap5b
100504525	Gm20268
23836	Cdh20
320311	Rnf152
100504568	Gm17634
27392	Pign
227446	Relch
21934	Tnfrsf11a
635504	Gm7160
227449	Zcchc2
626049	Gm20753
98432	Phlpp1
12043	Bcl2
70750	Kdsr
20479	Vps4b
20724	Serpinb5
71869	Serpinb12
241196	Serpinb13
20248	Serpinb3a
394252	Serpinb3d
383548	Serpinb3b
381286	Serpinb3c
66957	Serpinb11
116872	Serpinb7
18788	Serpinb2
241197	Serpinb10
20725	Serpinb8
241201	Cdh7
227485	Cdh19
319901	Dsel
636808	Cntnap5a
22099	Tsn
67949	Nifk
76707	Clasp1
68204	2900060B14Rik
81879	Tfcp2l1
14633	Gli2
16324	Inhbb
64143	Ralb
226351	Tmem185b
226352	Epb41l5
19258	Ptpn4
66343	Tmem177
226356	Cfap221
319229	Sctr
170706	Tmem37
13167	Dbi
73103	3110009E18Rik
68428	Steap3
226359	C1ql2
17167	Marco
13798	En1
98452	Celrr
72999	Insig2
70829	Ccdc93
15564	Htr5b
66942	Ddx18
269109	Dpp10
74117	Actr3
74150	Slc35f5
71111	Gpr39
72585	Lypd1
210356	Nckap5
107895	Mgat5
667090	Gm8451
72160	Tmem163
266645	Acmsd
100502745	2900009J06Rik
72949	Ccnt2
22625	Map3k19
226407	Rab3gap1
226409	Zranb3
226412	R3hdm1
387147	Mir128-1
67812	Ubxn4
226413	Lct
17219	Mcm6
226414	Dars
12767	Cxcr4
210417	Thsd7b
13137	Cd55b
13136	Cd55
22789	Zp3r
12269	C4bp
18640	Pfkfb2
226418	Yod1
212439	AA986860
64435	Fcamr
18703	Pigr
69169	Fcmr
93672	Il24
58181	Il20
329244	Il19
16153	Il10
17164	Mapkapk2
226419	Dyrk3
16865	Eif2d
54354	Rassf5
56489	Ikbke
14270	Srgap2
108900	Fam72a
26361	Avpr1b
13034	Ctse
226421	Rab7b
320718	Slc26a9
212933	Pm20d1
98396	Slc41a1
226422	Rab29
98415	Nucks1
212980	Slc45a3
13714	Elk4
213006	Mfsd4a
18557	Cdk18
723818	Mir135b
213409	Lemd1
213417	Klhdc8a
74137	Nuak2
68875	Tmcc2
213452	Dstyk
213464	Rbbp5
74626	Tmem81
21367	Cntn2
269116	Nfasc
100038653	Gm10538
16980	Lrrn2
17248	Mdm4
240752	Pik3c2b
108954	Ppp1r15b
240753	Plekha6
100502933	Gm19461
68338	Golt1a
280287	Kiss1
19701	Ren1
214253	Etnk2
20668	Sox13
20643	Snrpe
70579	Zc3h11a
667118	Zbed6
240754	Lax1
381290	Atp2b4
269120	Optc
116847	Prelp
14264	Fmod
12227	Btg2
667414	Gm8618
71884	Chit1
12654	Chil1
53311	Mybph
11539	Adora1
17928	Myog
68507	Ppfia4
57439	Tmem183a
240755	Mgat4f
72017	Cyb5r1
72674	Adipor1
240756	Klhl12
98710	Rabif
71001	Mgat4e
75605	Kdm5b
20980	Syt2
329251	Ppp1r12b
67196	Ube2t
329252	Lgr6
13924	Ptprv
320139	Ptpn7
68724	Arl8a
171469	Gpr37l1
13710	Elf3
215615	Rnpep
21854	Timm17a
93689	Lmod1
77552	Shisa4
226432	Ipo9
215690	Nav1
13007	Csrp1
27280	Phlda3
21952	Tnni1
16763	Lad1
21956	Tnnt2
18772	Pkp1
226438	Igfn1
66241	Tmem9
12292	Cacna1s
329253	Gm15850
16565	Kif21b
76422	Mroh3
67313	Inava
383563	Gpr25
67886	Camsap2
320054	9230116N13Rik
67997	Ddx59
381293	Kif14
226442	Zfp281
100503460	Gm19705
26424	Nr5a2
735252	Mir181a-1
723890	Mir181b-1
19264	Ptprc
338375	Atp6v1g3
59125	Nek7
545363	Gm5833
16876	Lhx9
69549	2310009B15Rik
75546	1700019P21Rik
329260	Dennd1b
170788	Crb1
71209	4933436E23Rik
226470	Zbtb41
12316	Aspm
14060	F13b
50702	Cfhr1
214403	Gm4788
545366	Cfhr2
12628	Cfh
240776	Kcnt2
75910	4930590L20Rik
214498	Cdc73
26878	B3galt2
69367	Glrx2
20822	Ro60
56207	Uchl5
19735	Rgs2
246709	Rgs13
50778	Rgs1
624910	Rgs21
64214	Rgs18
215378	Brinp3
18783	Pla2g4a
320019	Ptgs2os
19225	Ptgs2
20028	Pdc
75584	2310030A07Rik
226499	Odr4
108989	Tpr
96875	Prg4
545370	Hmcn1
73176	3110040M04Rik
117198	Ivns1abp
66875	Swt1
98685	Trmt1l
19821	Rnf2
63913	Niban1
66967	Edem3
69399	1700025G04Rik
66637	Tsen15
269132	Colgalt2
19731	Rgl1
71281	Apobec4
67771	Arpc5
17970	Ncf2
226517	Smg7
226518	Nmnat2
16782	Lamc2
226519	Lamc1
71836	Shcbp1l
13211	Dhx9
74091	Npl
67792	Rgs8
329271	C230024C17Rik
19734	Rgs16
24014	Rnasel
240816	Rgsl1
240817	Teddm2
433365	Teddm1b
240819	Teddm1a
14645	Glul
78112	4930452N14Rik
12290	Cacna1e
15939	Ier5
15064	Mr1
58244	Stx6
207792	BC034090
19775	Xpr1
433367	Gm5532
72482	Acbd6
16872	Lhx4
104009	Qsox1
74081	Cep350
208263	Tor1aip1
240832	Tor1aip2
329274	Fam163a
214575	Tdrd5
170484	Nphs2
77352	Axdnd1
20652	Soat1
11352	Abl2
30935	Tor3a
215015	Fam20b
78255	Ralgps2
72713	Angptl1
73435	Tex35
226525	Rasal2
69953	2810025M15Rik
226527	Cryzl2
89867	Sec16b
240843	Brinp2
11899	Astn1
735253	Mir488
23850	Pappa2
72025	1600012P17Rik
26374	Cop1
100217414	Scarna3a
21960	Tnr
67647	4930523C07Rik
75255	4930562F07Rik
329278	Tnn
64659	Mrps14
12301	Cacybp
29809	Rabgap1l
100316784	Mir1927
620246	Gpr52
620750	Gm6177
381305	Rc3h1
11905	Serpinc1
240869	Zbtb37
14455	Gas5
100217446	Snord47
226539	Dars2
70454	Cenpl
226541	Klhl20
73844	Ankrd45
100502590	Tex50
11758	Prdx6
22164	Tnfsf4
240873	Tnfsf18
14103	Fasl
226551	Suco
75368	4930558K02Rik
67292	Pigc
103967	Dnm3
72753	2810442N19Rik
474332	Dnm3os
723821	Mir199a-2
387210	Mir214
71449	Eef1aknmt
53330	Vamp4
17926	Myoc
100038657	Myocos
226562	Prrc2c
226564	Fmo4
14261	Fmo1
55990	Fmo2
226565	Fmo6
14262	Fmo3
78258	Mroh9
18933	Prrx1
98376	Gorab
240879	Mettl11b
16579	Kifap3
240880	Scyl3
381306	BC055324
69962	Mettl18
20339	Sele
20343	Sell
20344	Selp
100503816	Gm16548
14067	F5
116914	Slc19a2
74895	Ccdc181
66352	Blzf1
171567	Nme7
11931	Atp1b1
56429	Dpt
433374	Gm20743
16963	Xcl1
75857	4930568G15Rik
83993	Tbx19
108735	Sft2d2
226591	Tiprl
240888	Gpr161
74106	Dcaf6
70456	Mpc2
271639	Adcy10
68481	Mpzl1
226594	Rcsd1
433375	Creg1
12503	Cd247
18986	Pou2f1
240892	Dusp27
59290	Gpa33
98558	Mael
100039795	Ildr2
27878	Tada1
71592	Pogk
226601	Gm4846
226604	Gm4847
240894	Fmo9
100503962	Gm16701
226610	Fam78b
80914	Uck2
68944	Tmco1
56752	Aldh9a1
66447	Mgst3
240899	Lrrc52
20183	Rxrg
110648	Lmx1a
18514	Pbx1
66977	Nuf2
19737	Rgs5
19736	Rgs4
78465	Ccdc190
15490	Hsd17b7
67303	3110045C21Rik
18214	Ddr2
107652	Uap1
16589	Uhmk1
545378	Sh2d1b2
622708	Gm6345
